0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,1,2,3,4,5,6,7,8,9
69
70
69,E,19
69,E,67
19,E,1
19,E,3
19,E,5
19,E,7
19,E,9
19,E,11
19,E,13
19,E,15
19,E,17
1,1,2
3,2,4
5,3,6
7,4,8
9,5,10
11,6,12
13,7,14
15,8,16
17,9,18
2,E,20
4,E,20
6,E,20
8,E,20
10,E,20
12,E,20
14,E,20
16,E,20
18,E,20
67,E,57
67,E,59
67,E,61
67,E,63
67,E,65
57,0,58
59,2,60
61,4,62
63,6,64
65,8,66
58,E,68
60,E,68
62,E,68
64,E,68
66,E,68
20,E,43
68,E,70
43,E,41
43,E,44
42,E,41
41,E,21
41,E,23
41,E,25
41,E,27
41,E,29
41,E,31
41,E,33
41,E,35
41,E,37
41,E,39
21,0,22
23,1,24
25,2,26
27,3,28
29,4,30
31,5,32
33,6,34
35,7,36
37,8,38
39,9,40
22,E,42
24,E,42
26,E,42
28,E,42
30,E,42
32,E,42
34,E,42
36,E,42
38,E,42
40,E,42
42,E,44
44,E,55
55,E,45
55,E,47
55,E,49
55,E,51
55,E,53
45,0,46
47,2,48
49,4,50
51,6,52
53,8,54
46,E,56
48,E,56
50,E,56
52,E,56
54,E,56
56,E,70
